p_name_list|price_list|specifications_list|rating_list|product_url_list|thumbnail_list
POCO C31 (Royal Blue, 64 GB)|₹11,999|"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
16.59 cm (6.53 inch) HD+ Display
13MP + 2MP + 2MP | 5MP Front Camera
5000 mAh Lithium-ion Polymer Battery
MediaTek Helio G35 Processor
1 Year Warranty for Handset, 6 Months for Accessories"|4.4|https://www.flipkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_1&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBG73E7GKQK4KZP.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/mobile/p/e/4/c31-mzb0a0jin-poco-original-imag7bzqxgdhgf2n.jpeg?q=70
realme C31 (Dark Green, 32 GB)|₹10,999|"3 GB RAM | 32 GB ROM | Expandable Upto 1 TB
16.56 cm (6.52 inch) HD Display
13MP + 2MP + 0.3MP | 5MP Front Camera
5000 mAh Battery
Unisoc T612 Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"|4.5|https://www.flipkart.com/realme-c31-dark-green-32-gb/p/itme0f2960da9bbb?pid=MOBGCGVAXYT3EGYR&lid=LSTMOBGCGVAXYT3EGYRW8CSTQ&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_2&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBGCGVAXYT3EGYR.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/l1dwknk0/mobile/p/r/0/-original-imagcyj2prahc4pk.jpeg?q=70
realme C31 (Light Silver, 32 GB)|₹10,999|"3 GB RAM | 32 GB ROM | Expandable Upto 1 TB
16.56 cm (6.52 inch) HD Display
13MP + 2MP + 0.3MP | 5MP Front Camera
5000 mAh Battery
Unisoc T612 Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"|4.5|https://www.flipkart.com/realme-c31-light-silver-32-gb/p/itme0f2960da9bbb?pid=MOBGCGVA3DANQNQH&lid=LSTMOBGCGVA3DANQNQHPKNMV9&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_3&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBGCGVA3DANQNQH.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/l1dwknk0/mobile/f/t/x/-original-imagcyj4unsxhadw.jpeg?q=70
realme C31 (Dark Green, 64 GB)|₹11,999|"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
16.56 cm (6.52 inch) HD Display
13MP + 2MP + 0.3MP | 5MP Front Camera
5000 mAh Battery
Unisoc T612 Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"|4.4|https://www.flipkart.com/realme-c31-dark-green-64-gb/p/itme0f2960da9bbb?pid=MOBGCGVAZXRCZJNE&lid=LSTMOBGCGVAZXRCZJNEAEVV0M&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_4&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBGCGVAZXRCZJNE.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/l1dwknk0/mobile/p/r/0/-original-imagcyj2prahc4pk.jpeg?q=70
realme C11 2021 (Cool Grey, 32 GB)|₹7,999|"2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
8MP Rear Camera | 5MP Front Camera
5000 mAh Battery
Octa-core Processor
1 Year Warranty for Mobile and 6 Months for Accessories"|4.4|https://www.flipkart.com/realme-c11-2021-cool-grey-32-gb/p/itmbd856acb97c38?pid=MOBG4BEGX8QYNKGZ&lid=LSTMOBG4BEGX8QYNKGZXOJ4Y8&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_5&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBG4BEGX8QYNKGZ.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/s/b/8/c11-2021-rmx3231-realme-original-imag4j4xkqchhfxk.jpeg?q=70
realme C31 (Light Silver, 64 GB)|₹11,999|"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
16.56 cm (6.52 inch) HD Display
13MP + 2MP + 0.3MP | 5MP Front Camera
5000 mAh Battery
Unisoc T612 Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"|4.4|https://www.flipkart.com/realme-c31-light-silver-64-gb/p/itme0f2960da9bbb?pid=MOBGCGVAGUHQ9HNJ&lid=LSTMOBGCGVAGUHQ9HNJSTKURO&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_6&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBGCGVAGUHQ9HNJ.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/l1dwknk0/mobile/f/t/x/-original-imagcyj4unsxhadw.jpeg?q=70
realme C11 2021 (Cool Blue, 64 GB)|₹9,999|"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
8MP Rear Camera | 5MP Front Camera
5000 mAh Battery
Octa-core Processor
1 Year Warranty for Mobile and 6 Months for Accessories"|4.3|https://www.flipkart.com/realme-c11-2021-cool-blue-64-gb/p/itmbd856acb97c38?pid=MOBG5BCDBHPYMT5B&lid=LSTMOBG5BCDBHPYMT5B9SEYIT&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_7&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBG5BCDBHPYMT5B.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/o/4/x/c11-2021-rmx3231-realme-original-imag4j4yrdt7d9cj.jpeg?q=70
realme C11 2021 (Cool Blue, 32 GB)|₹7,999|"2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
8MP Rear Camera | 5MP Front Camera
5000 mAh Battery
Octa-core Processor
1 Year Warranty for Mobile and 6 Months for Accessories"|4.4|https://www.flipkart.com/realme-c11-2021-cool-blue-32-gb/p/itmbd856acb97c38?pid=MOBG4BEG3HG78BDG&lid=LSTMOBG4BEG3HG78BDGZKVJB6&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_8&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBG4BEG3HG78BDG.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/o/4/x/c11-2021-rmx3231-realme-original-imag4j4yrdt7d9cj.jpeg?q=70
realme C11 2021 (Cool Grey, 64 GB)|₹9,999|"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
8MP Rear Camera | 5MP Front Camera
5000 mAh Battery
Octa-core Processor
1 Year Warranty for Mobile and 6 Months for Accessories"|4.3|https://www.flipkart.com/realme-c11-2021-cool-grey-64-gb/p/itmbd856acb97c38?pid=MOBG5BCDJ68N57TH&lid=LSTMOBG5BCDJ68N57THWJHNPW&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_9&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBG5BCDJ68N57TH.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/s/b/8/c11-2021-rmx3231-realme-original-imag4j4xkqchhfxk.jpeg?q=70
realme Narzo 50A (Oxygen Blue, 64 GB)|₹12,999|"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP + 2MP | 8MP Front Camera
6000 mAh Battery
MediaTek Helio G85 Processor
1 Year Warranty for Mobile and 6 Months for Accessories"|4.4|https://www.flipkart.com/realme-narzo-50a-oxygen-blue-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4UGGFQWYY&lid=LSTMOBG6MY4UGGFQWYY0MIXVS&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_10&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBG6MY4UGGFQWYY.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/d/n/p/narzo-50a-rmx3430-realme-original-imag75kymngzyabx.jpeg?q=70
POCO M3 Pro 5G (Yellow, 64 GB)|₹15,999|"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) Full HD+ Display
48MP + 2MP + 2MP | 8MP Front Camera
5000 mAh Lithium-ion Polymer Battery
MediaTek Dimensity 700 Processor
Multiple Hands-free Voice Assistant
One Year Warranty for Handset, 6 Months for Accessories"|4.3|https://www.flipkart.com/poco-m3-pro-5g-yellow-64-gb/p/itm51fb555f11b66?pid=MOBG3P55T4HQZBGC&lid=LSTMOBG3P55T4HQZBGC0XVZM2&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_11&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBG3P55T4HQZBGC.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/kpmy8i80/mobile/x/q/n/m3-pro-5g-mzb0956in-poco-original-imag3th5e4thsxjt.jpeg?q=70
POCO C31 (Royal Blue, 32 GB)|₹10,999|"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB
16.59 cm (6.53 inch) HD+ Display
13MP + 2MP + 2MP | 5MP Front Camera
5000 mAh Lithium-ion Polymer Battery
MediaTek Helio G35 Processor
1 Year Warranty for Handset, 6 Months for Accessories"|4.4|https://www.flipkart.com/poco-c31-royal-blue-32-gb/p/itm9656ebd21e0b3?pid=MOBG73E7ZBHHQ3RB&lid=LSTMOBG73E7ZBHHQ3RBDYSPVO&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_12&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBG73E7ZBHHQ3RB.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/mobile/p/e/4/c31-mzb0a0jin-poco-original-imag7bzqxgdhgf2n.jpeg?q=70
realme 9 (Sunburst Gold, 128 GB)|₹20,999|"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.26 cm (6.4 inch) Full HD+ AMOLED Display
108MP + 8MP + 2MP | 16MP Front Camera
5000 mAh Lithium Ion Battery
Qualcomm Snapdragon 680 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories"|4.3|https://www.flipkart.com/realme-9-sunburst-gold-128-gb/p/itm73722a6d35d36?pid=MOBGDYSHHVWMECHS&lid=LSTMOBGDYSHHVWMECHSTFXBTZ&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_13&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBGDYSHHVWMECHS.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/l1mh7rk0/mobile/j/c/d/-original-imagd5zqykhtmsda.jpeg?q=70
realme Narzo 50A (Oxygen Green, 64 GB)|₹12,999|"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP + 2MP | 8MP Front Camera
6000 mAh Battery
MediaTek Helio G85 Processor
1 Year Warranty for Mobile and 6 Months for Accessories"|4.4|https://www.flipkart.com/realme-narzo-50a-oxygen-green-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4X6JDZMGG&lid=LSTMOBG6MY4X6JDZMGGMM9YLF&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_14&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBG6MY4X6JDZMGG.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/q/a/c/narzo-50a-rmx3430-realme-original-imag75kybaer8scz.jpeg?q=70
realme Narzo 50A (Oxygen Blue, 128 GB)|₹13,999|"4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP + 2MP | 8MP Front Camera
6000 mAh Battery
MediaTek Helio G85 Processor
1 Year Warranty for Mobile and 6 Months for Accessories"|4.4|https://www.flipkart.com/realme-narzo-50a-oxygen-blue-128-gb/p/itm81d679403c2b4?pid=MOBG6MY4JGHHADW8&lid=LSTMOBG6MY4JGHHADW8WRSXX9&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_15&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBG6MY4JGHHADW8.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/d/n/p/narzo-50a-rmx3430-realme-original-imag75kymngzyabx.jpeg?q=70
realme 9 (Stargaze White, 128 GB)|₹20,999|"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.26 cm (6.4 inch) Full HD+ AMOLED Display
108MP + 8MP + 2MP | 16MP Front Camera
5000 mAh Lithium Ion Battery
Qualcomm Snapdragon 680 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories"|4.3|https://www.flipkart.com/realme-9-stargaze-white-128-gb/p/itm73722a6d35d36?pid=MOBGDYSHUGUDPEY4&lid=LSTMOBGDYSHUGUDPEY4MMBTA2&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_16&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBGDYSHUGUDPEY4.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/l1mh7rk0/mobile/2/g/u/-original-imagd5zqqmjz5hmy.jpeg?q=70
MOTOROLA G60 (Moonless, 128 GB)|₹21,999|"6 GB RAM | 128 GB ROM
17.22 cm (6.78 inch) Full HD+ Display
108MP + 8MP + 2MP | 32MP Front Camera
6000 mAh Battery
Qualcomm Snapdragon 732G Processor
120Hz Refresh Rate
Stock Android Experience
1 Year on Handset and 6 Months on Accessories"|4.2|https://www.flipkart.com/motorola-g60-moonless-128-gb/p/itma894654fddb46?pid=MOBG9CJ6KRYW4NJT&lid=LSTMOBG9CJ6KRYW4NJTP2I8X0&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_17&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBG9CJ6KRYW4NJT.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/l0o6nbk0/mobile/y/s/e/-original-imagceu559m75mks.jpeg?q=70
realme 9i (Prism Black, 128 GB)|₹17,999|"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.76 cm (6.6 inch) Full HD+ Display
50MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Lithium ion Battery
Qualcomm Snapdragon 680 (SM6225) Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"|4.4|https://www.flipkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBG9VGV65TK6YZG&lid=LSTMOBG9VGV65TK6YZGVSIO3T&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_18&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBG9VGV65TK6YZG.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/m/r/u/-original-imagagnffruu7ptd.jpeg?q=70
realme 9i (Prism Blue, 64 GB)|₹15,999|"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
16.76 cm (6.6 inch) Full HD+ Display
50MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Lithium ion Battery
Qualcomm Snapdragon 680 (SM6225) Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"|4.5|https://www.flipkart.com/realme-9i-prism-blue-64-gb/p/itm3e9987219f652?pid=MOBG9VGVKUM4XNRR&lid=LSTMOBG9VGVKUM4XNRRK3F43H&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_19&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBG9VGVKUM4XNRR.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/s/5/d/-original-imagagnfgh6ed7tp.jpeg?q=70
realme 9i (Prism Black, 64 GB)|₹15,999|"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
16.76 cm (6.6 inch) Full HD+ Display
50MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Lithium ion Battery
Qualcomm Snapdragon 680 (SM6225) Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"|4.5|https://www.flipkart.com/realme-9i-prism-black-64-gb/p/itm3e9987219f652?pid=MOBG9VGVYG2XHZGR&lid=LSTMOBG9VGVYG2XHZGRXF8S1K&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_20&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBG9VGVYG2XHZGR.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/m/r/u/-original-imagagnffruu7ptd.jpeg?q=70
realme 9i (Prism Blue, 128 GB)|₹17,999|"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.76 cm (6.6 inch) Full HD+ Display
50MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Lithium ion Battery
Qualcomm Snapdragon 680 (SM6225) Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"|4.4|https://www.flipkart.com/realme-9i-prism-blue-128-gb/p/itm3e9987219f652?pid=MOBG9VGV2Q9PDXHN&lid=LSTMOBG9VGV2Q9PDXHNDMVYNZ&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_21&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBG9VGV2Q9PDXHN.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/s/5/d/-original-imagagnfgh6ed7tp.jpeg?q=70
realme C35 (Glowing Black, 64 GB)|₹13,999|"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
16.76 cm (6.6 inch) Full HD+ Display
50MP + 2MP + 0.3MP | 8MP Front Camera
5000 mAh Lithium Polymer Battery
Unisoc Tiger T616 Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"|4.4|https://www.flipkart.com/realme-c35-glowing-black-64-gb/p/itmafb045222b2cf?pid=MOBGBTHFDQXQEGNS&lid=LSTMOBGBTHFDQXQEGNSZWXHXJ&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_22&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBGBTHFDQXQEGNS.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/l0fm07k0/mobile/1/k/g/-original-imagc7ukmgugpdfy.jpeg?q=70
realme C35 (Glowing Green, 64 GB)|₹13,999|"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
16.76 cm (6.6 inch) Full HD+ Display
50MP + 2MP + 0.3MP | 8MP Front Camera
5000 mAh Lithium Polymer Battery
Unisoc Tiger T616 Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"|4.4|https://www.flipkart.com/realme-c35-glowing-green-64-gb/p/itmafb045222b2cf?pid=MOBGBTHFSKHF8RAU&lid=LSTMOBGBTHFSKHF8RAUQONXWY&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_23&otracker=search&iid=782ca2df-2e21-42ed-a790-3505d4dde440.MOBGBTHFSKHF8RAU.SEARCH&ssid=jn2a7ui7nerxd3i81653075721340&qH=d2d7ba3c0ae30d4a|https://rukminim1.flixcart.com/image/312/312/l0fm07k0/mobile/y/g/i/-original-imagc7ryyhrrcgxh.jpeg?q=70
